run_id,study_id,config_id,seed,quality_model,agent_count,steps,converged,convergence_reason,vote_count,retract_count,unique_voters,active_agents,total_actions,mean_actions_per_agent,tab_foryou_pct,tab_notification_pct,tab_ballot_pct,root_count,remix_count,merge_count,proposal_count,total_subscriptions,subscription_gini,top_proposal_share,hhi,cluster_count,label_entropy,ballot_size,ballot_label_diversity,champion_count,final_root_count,final_remix_count,final_merge_count,unique_authors,elapsed_days,selection_efficiency,top_1_mean_quality,top_1_selection_efficiency,suboptimality_gap_top1,top_3_mean_quality,top_3_selection_efficiency,top_7_mean_quality,top_7_selection_efficiency,top_k_mean_quality,top_k_selection_efficiency,dag_mean_depth,dag_max_depth,siphon_migration_count,siphon_notification_evaluations,late_entrant_in_top5
attention_baseline_null_model_n25_s42,attention_baseline,null_model_n25,42,attention,25,36,False,target_duration_reached_30d,158,0,25,25,314,12.56,18.4,44.6,37.0,8,37,13,58,201,0.3893,0.0647,0.0276,15,3.241,3,3,15,8,37,13,24,30.7,0.3731,3.83,0.8161,0.8633,1.7509,0.3731,1.9723,0.4202,1.9723,0.4202,1.88,7,101,199,0
attention_baseline_null_model_n25_s99,attention_baseline,null_model_n25,99,attention,25,42,False,target_duration_reached_30d,174,0,25,25,356,14.24,20.7,43.2,36.1,7,49,17,73,236,0.3649,0.0508,0.0202,14,3.0948,3,3,14,7,49,17,25,30.8,0.3739,1.3759,0.5775,1.0066,0.8909,0.3739,1.1352,0.4765,1.1352,0.4765,1.66,7,112,217,0
attention_baseline_null_model_n50_s137,attention_baseline,null_model_n50,137,attention,50,33,False,target_duration_reached_30d,313,0,50,50,567,11.34,23.6,40.4,36.0,12,73,14,99,403,0.4133,0.0496,0.0179,17,3.322,4,4,17,12,73,14,39,30.8,0.2957,0.8228,0.247,2.5088,1.0545,0.3165,1.0498,0.3151,1.0498,0.3151,1.57,7,158,305,0
attention_baseline_null_model_n50_s42,attention_baseline,null_model_n50,42,attention,50,36,False,target_duration_reached_30d,322,0,50,50,634,12.68,23.8,40.7,35.5,12,84,34,130,448,0.3859,0.0513,0.0138,20,3.4582,3,3,20,12,84,34,47,30.7,0.1981,0.4519,0.1385,2.8114,0.6463,0.1981,0.7405,0.2269,0.7405,0.2269,2.0,9,185,351,0
attention_baseline_null_model_n50_s99,attention_baseline,null_model_n50,99,attention,50,43,False,target_duration_reached_30d,355,0,50,50,685,13.7,18.2,43.5,38.4,12,89,27,128,477,0.4402,0.044,0.0151,19,3.2774,4,4,19,12,89,27,47,30.5,0.2882,1.5517,0.5747,1.1482,0.8585,0.318,0.9565,0.3543,0.9565,0.3543,1.42,4,205,428,0
carpentras_ideal_theoretical_n100_s137,carpentras,ideal_theoretical_n100,137,attention,100,38,False,target_duration_reached_31d,3923,0,100,100,4922,49.22,100.0,0.0,0.0,16,772,214,1002,4543,0.4617,0.0059,0.0018,23,3.7163,3,3,23,16,772,214,100,31.5,0.1068,1.832,0.16,9.6173,3.2758,0.2861,3.8472,0.336,3.8472,0.336,11.94,27,0,0,0
carpentras_ideal_theoretical_n100_s42,carpentras,ideal_theoretical_n100,42,attention,100,32,False,target_duration_reached_32d,3228,0,100,100,4042,40.42,100.0,0.0,0.0,16,581,220,817,3711,0.463,0.0065,0.0022,24,3.744,2,2,24,16,581,220,100,32.8,0.3679,1.7773,0.1595,9.3654,4.8271,0.4332,3.4888,0.3131,3.4888,0.3131,10.56,20,0,0,0
carpentras_ideal_theoretical_n100_s99,carpentras,ideal_theoretical_n100,99,attention,100,28,False,target_duration_reached_31d,2773,0,100,100,3468,34.68,100.0,0.0,0.0,13,527,158,698,3177,0.4623,0.0091,0.0027,21,3.49,1,1,21,13,527,158,100,31.8,0.7277,6.8203,0.7277,2.5517,4.0737,0.4347,3.1362,0.3346,3.1362,0.3346,9.7,17,0,0,0
carpentras_ideal_theoretical_n10_s137,carpentras,ideal_theoretical_n10,137,attention,10,55,False,target_duration_reached_30d,448,0,10,10,569,56.9,100.0,0.0,0.0,7,80,37,124,306,0.33,0.0229,0.0111,17,3.3556,3,3,17,7,80,37,10,30.6,0.2345,1.4953,0.1741,7.0909,3.0467,0.3548,2.0827,0.2426,2.0827,0.2426,7.2,16,0,0,0
carpentras_ideal_theoretical_n10_s42,carpentras,ideal_theoretical_n10,42,attention,10,28,False,target_duration_reached_30d,216,0,10,10,272,27.2,100.0,0.0,0.0,5,40,14,59,137,0.3459,0.0438,0.024,14,3.0549,1,1,14,5,40,14,10,30.8,0.7803,0.1595,0.0473,3.213,1.4898,0.4417,1.6555,0.4909,1.6555,0.4909,5.54,11,0,0,1
