id,created,event_type,payload_json,reference_id,status,updated,user
r5mk3x28h33vyua,2026-08-25 01:25:00.037Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,actioned,2026-08-25 13:33:16.719Z,b209c2355deb9852
sxi0folhcjeepe8,2026-08-25 01:25:00.038Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.038Z,cc3304ea9b75a00f
ncwcl3dqy30ehci,2026-08-25 01:25:01.376Z,phase_ending_soon,"{""title"": ""Last chance to vote! \ud83c\udfc1"", ""body"": ""Voting on \""Wie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" ends soon. Don't miss your chance to decide!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,actioned,2026-08-25 13:32:20.120Z,de13859e1d6aea12
tq9o8qjmxru96tj,2026-08-25 01:25:01.377Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.377Z,2c2aed88e0c41752
7hwruy07htq7qvj,2026-08-25 01:25:01.379Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,actioned,2026-08-25 08:18:09.941Z,407be8b01d4ce342
d783gfa0jpehff3,2026-08-25 01:25:01.380Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.380Z,6a6cecc209785885
2h53cpwq86f63v7,2026-08-25 01:25:01.381Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.381Z,216bb226ec191993
0jaf4fx1nr75q6w,2026-08-25 01:25:01.382Z,phase_ending_soon,"{""title"": ""Last chance to vote! \ud83c\udfc1"", ""body"": ""Voting on \""Wie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" ends soon. Don't miss your chance to decide!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,actioned,2026-08-26 09:43:34.454Z,3e36e627a64bac27
ymuz91scitrkgxu,2026-08-25 01:25:01.383Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.383Z,6a4af8b5c50c45a9
4vffvf7068ntulk,2026-08-25 01:25:01.384Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.384Z,35a5f57f8816142e
565qh3klreoisue,2026-08-25 01:25:01.385Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.385Z,ee5e4e5bfc419bad
ijdtihc3p8tlj9e,2026-08-25 01:25:01.386Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.386Z,762fef61cd09705e
hr7jkui29iizke1,2026-08-25 01:25:01.387Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.387Z,b5234477b29af758
voffiolfrodxq1h,2026-08-25 01:25:01.387Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.387Z,9b6849405eda0dbd
ho2mqgllbvaw65m,2026-08-25 01:25:01.388Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.388Z,7c575f07d0147059
v6zerw02f7obq6p,2026-08-25 01:25:01.389Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.389Z,4ae21a849ee008e7
k4jggxql0c585wm,2026-08-25 01:25:01.390Z,phase_ending_soon,"{""title"": ""Last chance to vote! \ud83c\udfc1"", ""body"": ""Voting on \""Wie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" ends soon. Don't miss your chance to decide!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.390Z,a656e6eac2dca9c8
7mtpqcn270o5hcp,2026-08-25 01:25:01.391Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,actioned,2026-08-25 13:32:40.518Z,b209c2355deb9852
y1rcl4c2twl0biz,2026-08-25 01:25:01.392Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/question""}}",3o2fj1znev0krvz_Voting_phase_ending_soon,pending,2026-08-25 01:25:01.392Z,cc3304ea9b75a00f
